year,mean_tmax,mean_tmin
1930,7,3.6
1931,9.108333333333334,4.116666666666666
1932,9.683333333333334,4.591666666666667
1933,10.25,5.5
1934,10.1,5.566666666666666
1935,9.4,4.975
1936,9.775,4.875
1937,9.25,4.75
1938,9.908333333333333,5.316666666666666
1939,9.741666666666667,5.008333333333333
1940,9.041666666666666,4.258333333333334
1941,9.241666666666667,4.383333333333334
1942,9,4.533333333333333
1943,10.025,5.491666666666666
1944,9.3,4.841666666666667
1945,10.141666666666667,5.6
1946,9.891666666666666,5.366666666666667
1947,9.45,4.625
1948,9.558333333333334,4.883333333333333
1949,9.9,5.191666666666666
1950,9.458333333333334,4.925
1951,9.033333333333333,4.391666666666667
1952,8.683333333333334,4.108333333333333
1953,10.2,5.591666666666667
1954,9.183333333333334,4.566666666666666
1955,9.133333333333333,4.325
1956,8.908333333333333,4.441666666666666
1957,9.416666666666666,4.983333333333333
1958,9.141666666666667,4.641666666666667
1959,10.058333333333334,5.566666666666666
1960,9.775,5.325
1961,9.541666666666666,5.25
1962,8.8,4.325
1963,8.883333333333333,4.516666666666667
1964,9.325,4.85
1965,8.625,4.216666666666667
1966,8.875,4.458333333333333
1967,9.291666666666666,4.966666666666667
1968,9.008333333333333,4.3500000000000005
1969,8.858333333333334,4.3
1970,8.841666666666667,4.358333333333333
1971,9.683333333333334,5.05
1972,9.416666666666666,5.275
1973,9,4.55
1974,9.741666666666667,5.258333333333334
1975,9.408333333333333,4.866666666666666
1976,9.391666666666666,4.925
1977,9.066666666666666,4.591666666666667
1978,8.85,4.466666666666667
1979,8.233333333333334,3.9499999999999997
1980,9.091666666666667,4.825
1981,8.733333333333333,4.216666666666667
1982,9.566666666666666,5.083333333333333
1983,9.258333333333333,4.791666666666667
1984,9.516666666666666,5.1
1985,8.95,4.283333333333333
1986,8.933333333333334,4.5
1987,9.225,4.858333333333333
1988,9.558333333333334,5.25
1989,9.924999999999999,5.3
1990,9.866666666666667,5.458333333333333
1991,9.716666666666667,5.383333333333334
1992,9.833333333333334,5.25
1993,8.816666666666666,4.616666666666666
1994,9.158333333333333,4.616666666666667
1995,9.241666666666667,4.675
1996,9.058333333333334,4.925
1997,10.033333333333333,5.725
1998,9.475,5.341666666666667
1999,9.525,5.45
2000,9.55,5.533333333333333
2001,9.233333333333333,5.15
2002,10.141666666666667,6.125
2003,10.608333333333334,6.258333333333333
2004,10.141666666666667,6.041666666666667
2005,9.716666666666667,5.708333333333333
2006,10.208333333333334,6.183333333333334
2007,9.841666666666667,5.675
2008,10.125,5.725
2009,10.258333333333333,6.141666666666667
2010,8.866666666666667,4.633333333333334
2011,10.166666666666666,6.016666666666667
2012,9.466666666666667,5.116666666666667
2013,9.516666666666666,5.308333333333334
2014,10.525,6.641666666666667
2015,9.958333333333334,5.791666666666667
2016,10.058333333333334,5.758333333333334
2017,10.133333333333333,6.1
2018,10.455555555555556,5.811111111111111
